epoch,train_loss,val_loss,grad_norm_mean,grad_norm_max,any_nan_train,any_nan_val,n_norm_overflow_batches,n_element_nonfinite_batches
0,6245971.436338326,0.7772481709286787,1340265977.2310865,10396294829453.97,False,False,0,0
1,0.9172357873724833,0.7676516618899412,1.8878777907800388,9574.899126980185,False,False,0,0
2,2.614248271516106,0.7554488283485473,inf,inf,True,False,2,0
3,474313.75709507446,0.7515383139418785,167597341.0199854,1300052570018.657,False,False,0,0
4,19956.678470730298,0.7540845807513,124946611.07504824,969208457120.9968,False,False,0,0
5,0.9013448167999057,0.7551135609514072,0.9195577785072027,1386.9257004287088,False,False,0,0
6,0.9409086949680521,0.7596199462977274,83.63471394107408,640623.4358727328,False,False,0,0
7,109.77982357293425,0.7727116266703659,1630537769.6259959,11633889940997.832,False,False,0,0
8,98393.93511062136,0.7603219726362754,inf,inf,True,False,2,0
9,184679605.99377602,0.756367375436701,inf,inf,True,False,1,0
10,1215393802.5837855,0.7920827632448081,inf,inf,True,False,1,0
11,112340.27530703117,6.062636478024316,inf,inf,True,False,4,0
12,11602586910.62005,0.8020404408475096,inf,inf,True,False,26,0
13,0.9150509478828565,0.7644647732293991,0.7378798612345636,1085.359178331665,False,False,0,0
