epoch,train_loss,val_loss,grad_norm_mean,grad_norm_max,any_nan_train,any_nan_val,n_norm_overflow_batches,n_element_nonfinite_batches
0,6245966.15505867,0.7751932461707621,1340264417.5720186,10396282731178.006,False,False,0,0
1,0.9166897001748419,0.7640332376362222,0.8249665792571313,1518.1556255481673,False,False,0,0
2,75.21081042411141,0.75541730979281,34369.24634791942,266597647.64928758,False,False,0,0
3,2219126678.9007735,0.7501028821686305,825160712634.2959,6400771541791367.0,False,False,0,0
4,356.8449149439294,0.7503694039971932,inf,inf,True,False,5,0
5,1.4504994047418827,0.7595815454820459,127436.5798760168,884645168.997687,False,False,0,0
6,0.8955704115193822,0.758831945707899,0.5176416303066977,30.06858617101746,False,False,0,0
7,481.0226184211869,0.7667781520663961,inf,inf,True,False,3,0
