speed_kph,command_kind,command_percent,status,valid_trial_count,attempted_trial_count,median_acceleration_mps2,median_simulator_acceleration_mps2,acceleration_source,median_stddev_mps2,median_mad_mps2,median_velocity_derived_acceleration_mps2,median_cross_check_disagreement_mps2,median_peak_abs_jerk_mps3,median_mean_deceleration_mps2,mean_deceleration_repeatability_mad_mps2,median_peak_deceleration_mps2,median_p95_deceleration_mps2,median_command_echo_delay_sec,median_deceleration_onset_delay_sec,median_initial_speed_mps,median_final_speed_mps,median_speed_drop_mps,median_distance_travelled_m,median_measurement_duration_sec,median_sample_rate_hz,median_mean_brake_echo_error,quality_flags,coast_baseline_deceleration_mps2,coast_normalized_brake_deceleration_mps2
0,brake,0,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,1.1014734052121033e-06,1.1014734052121033e-06,0.0,0.0,0.0,0.0,0.0,,,3.990593540947884e-06,5.545958629227243e-06,-1.555365088279359e-06,0.0,1.3402546549914405,48.39587938401148,0.0,['stationary_command_check'],0.0,0.0
0,brake,10,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-5.552955835710499e-07,5.552955835710499e-07,0.0,0.0,0.0,0.0,0.0,0.03422508199582808,,1.2021148450003238e-06,6.415095299416862e-08,1.1379638920061552e-06,0.0,0.2402292939950712,50.46975666550089,1.4901161138336505e-09,['stationary_command_check'],0.0,0.0
0,brake,20,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-7.868563907494809e-07,7.868563907494809e-07,0.0,0.0,0.0,0.0,0.0,0.04047105001518503,,1.1009866511813016e-06,1.9131064732391678e-08,1.0940465520192788e-06,0.0,0.23219601399614476,50.921310004606504,2.980232227667301e-09,['stationary_command_check'],0.0,0.0
0,brake,30,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-8.256778656347521e-07,8.256778656347521e-07,0.0,0.0,0.0,0.0,0.0,0.05400776999886148,,1.1272644542259513e-06,2.7450006712115282e-08,1.1073437438113842e-06,0.0,0.29996876599034294,49.97584813370825,1.1920928966180355e-08,['stationary_command_check'],0.0,0.0
0,brake,40,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-1.0819596516954797e-06,1.0819596516954797e-06,0.0,0.0,0.0,0.0,0.0,0.04214674999821,,1.1974512972301454e-06,5.08581301517097e-08,1.15550723833735e-06,0.0,0.2561521870084107,50.75107947281804,5.960464455334602e-09,['stationary_command_check'],0.0,0.0
0,brake,50,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-7.346429098467548e-07,7.346429098467548e-07,0.0,0.0,0.0,0.0,0.0,0.04393204100779258,,1.1593970157264266e-06,2.542622290491181e-08,1.111861285707505e-06,0.0,0.28957963100401685,50.624091627073966,0.0,['stationary_command_check'],0.0,0.0
0,brake,60,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-9.674082006141069e-07,9.674082006141069e-07,0.0,0.0,0.0,0.0,0.0,0.05067634201259352,,1.1835243185487343e-06,3.334894316253667e-08,1.1315318886317982e-06,0.0,0.25854189199162647,49.9687657770676,2.384185793236071e-08,['stationary_command_check'],0.0,0.0
0,brake,70,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-4.758921041958035e-07,4.758921041958035e-07,0.0,0.0,0.0,0.0,0.0,0.029972056014230475,,1.1570371043490013e-06,4.264976638523876e-08,1.0758465371907278e-06,0.0,0.28591849500662647,48.15688712530917,1.1920928910669204e-08,['stationary_command_check'],0.0,0.0
0,brake,80,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-3.7740257584738087e-07,3.7740257584738087e-07,0.0,0.0,0.0,0.0,0.0,0.034141118987463415,,1.182548430733732e-06,5.5348408523059334e-08,1.1493265361650629e-06,0.0,0.29799228298361413,49.95259066352758,1.1920928910669204e-08,['stationary_command_check'],0.0,0.0
0,brake,90,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-4.491896280724302e-07,4.491896280724302e-07,0.0,0.0,0.0,0.0,0.0,0.03826562999165617,,1.1359885547790327e-06,4.171021927845686e-08,1.090855800356394e-06,0.0,0.2402659959916491,50.452146460541414,2.384185793236071e-08,['stationary_command_check'],0.0,0.0
0,brake,100,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-2.547216174017071e-07,2.547216174017071e-07,0.0,0.0,0.0,0.0,0.0,0.029974275006679818,,1.1593849649216281e-06,3.7096000937708595e-08,1.112415397130917e-06,0.0,0.29803078999975696,47.504814073034595,0.0,['stationary_command_check'],0.0,0.0
5,brake,0,complete,3,3,0.0,0.0,simulator_field,0.0,0.0,-0.040676145600683,0.040676145600683,0.0,0.0,0.0,0.0,0.0,,,1.3585212230682373,1.303044319152832,0.0558091402053833,0.0,1.356095789000392,49.26084508669158,0.0,[],0.0,0.0
5,brake,10,complete,3,3,-1.8530579372234532,0.0,velocity_derived,0.0,0.0,-1.8530579372234532,1.8530579372234532,0.0,1.8530579372234532,0.01654351501335194,2.9083957667314455,2.867340677549914,0.03202935599256307,0.062124741001753137,1.3510481119155884,0.23044148087501526,1.1201938390731812,0.0,0.4015572349890135,49.217574619434544,1.4901161138336505e-09,['simulator_acceleration_field_stuck'],0.0,1.8530579372234532
5,brake,20,complete,3,3,-3.670262248538306,0.0,velocity_derived,0.0,0.0,-3.670262248538306,3.670262248538306,0.0,3.670262248538306,0.08460672889771059,5.734430401719297,5.502733094966439,0.03620621300069615,0.0719812260067556,1.3492158651351929,0.23471775650978088,1.1144447773694992,0.0,0.16764660700573586,47.71942685202265,2.980232227667301e-09,['simulator_acceleration_field_stuck'],0.0,3.670262248538306
5,brake,30,complete,3,3,-5.580892395656534,0.0,velocity_derived,0.0,0.0,-5.580892395656534,5.580892395656534,0.0,5.580892395656534,0.24025632717783996,7.870399773131281,7.2466795062689195,0.0381451369903516,0.06610774400178343,1.3504652976989746,0.022366048768162727,1.326474068686366,0.0,0.09435209698858671,48.62325088489631,1.1920928966180355e-08,['simulator_acceleration_field_stuck'],0.0,5.580892395656534
5,brake,40,attempt_limit,7,7,-6.3144142669667565,0.0,velocity_derived,0.0,0.0,-6.3144142669667565,6.3144142669667565,0.0,6.3144142669667565,0.6074030619939013,7.198146881934145,7.0765590034931245,0.044164153980091214,0.07013156500761397,1.350395917892456,0.024148060008883476,1.324465798214078,0.0,0.06990978398243897,55.62838779577656,5.960464455334602e-09,"['short_measurement_window', 'simulator_acceleration_field_stuck']",0.0,6.3144142669667565
5,brake,50,complete,3,3,-6.716818114186637,0.0,velocity_derived,0.0,0.0,-6.716818114186637,6.716818114186637,0.0,6.716818114186637,0.10772175039174314,6.716818114186637,6.716818114186637,0.03194918800727464,0.08427763701183721,1.3527722358703613,0.04525425657629967,1.3075179792940617,0.0,0.026117071975022554,38.28913137569038,0.0,"['short_measurement_window', 'simulator_acceleration_field_stuck']",0.0,6.716818114186637
