epoch,train_loss,val_loss,grad_norm_mean,grad_norm_max,any_nan_train,any_nan_val,n_norm_overflow_batches,n_element_nonfinite_batches
0,276.4066181502976,0.8437000018198754,40884.23160527546,316144354.5068466,False,False,0,0
1,23642417010.28589,0.8076594938900957,8255838106657.126,6.40405172909868e+16,False,False,0,0
2,0.7942461742039454,0.8033206081277418,3.1445573383661305,20352.021969571135,False,False,0,0
3,0.7901426823088169,0.8064683032208595,0.5040553611255952,113.6093301948216,False,False,0,0
4,693.6979383838215,0.943082916580448,270383.9029338219,1210734058.1991775,False,False,0,0
5,0.8343930219616935,0.840109028943805,27082.651427028926,199844161.56812295,False,False,0,0
6,13192614.323798314,0.8116929421789005,11154749437.991068,86527390556556.58,False,False,0,0
7,0.7847630095634399,0.8010279827957834,0.45780502229159065,14.152918469665359,False,False,0,0
8,0.786690868927144,0.7996720343728528,0.5058562930932711,165.35597073083835,False,False,0,0
9,0.7837195700641774,0.7979223361714362,0.4666747643715032,29.572158597479774,False,False,0,0
10,0.7840745871041613,0.8050602280608521,0.4837036416286978,82.91068440829872,False,False,0,0
11,58261241368.56831,0.8126251839076396,inf,inf,True,False,2,0
12,0.8760976817190409,0.8429607775730964,4962.868171211171,17262581.84214752,False,False,0,0
13,38715.039372237276,0.8129338767284002,4338988072327.93,2.270724976705587e+16,False,False,0,0
14,0.7862108095133752,0.8009343065213466,0.45880817330969725,176.5200036086623,False,False,0,0
15,0.7897904510127756,0.7973205343536709,55.58048437735578,310287.0378969462,False,False,0,0
16,8962887435.946968,1.0189675119276695,inf,inf,True,False,11,0
17,4225568463.8659267,0.9311261908166784,inf,inf,True,False,1,0
18,1.5504418709919874,0.8071621978528789,3615.012856455134,19064074.58655467,False,False,0,0
19,0.8260201366830305,0.8039931598448568,33678612.0584531,190481602789.9294,False,False,0,0
20,23185744851.68096,0.8020810773108183,inf,inf,True,False,1,0
21,90089605.16806938,0.8142581614130981,208024601806990.9,1.593847522277509e+18,False,False,0,0
22,126442.4476689293,0.8345281134547464,inf,inf,True,False,1,0
23,5445081347.679223,0.8272424603219548,inf,inf,True,False,16,0
24,0.7966340308749862,0.8055613135613725,655.6687054693563,4036826.957576635,False,False,0,0
25,24.67033671549766,0.8192010823400523,483083868.34249884,3744868503799.2144,False,False,0,0
26,13537171177.441765,0.8255714810844781,inf,inf,True,False,3,0
27,8.078706964835058,0.8059472259104983,319444.20690653403,2457043322.236571,False,False,0,0
28,13923.502469728013,0.810362860626866,inf,inf,True,False,1,0
29,33.79531196824293,0.8038955978060779,1270083481.4679594,9842203114838.668,False,False,0,0
30,748844.357832397,0.8199411481785004,inf,inf,True,False,3,0
