speed_kph,command_kind,command_percent,status,valid_trial_count,attempted_trial_count,median_acceleration_mps2,median_simulator_acceleration_mps2,acceleration_source,median_stddev_mps2,median_mad_mps2,median_velocity_derived_acceleration_mps2,median_cross_check_disagreement_mps2,median_peak_abs_jerk_mps3,median_mean_deceleration_mps2,mean_deceleration_repeatability_mad_mps2,median_peak_deceleration_mps2,median_p95_deceleration_mps2,median_command_echo_delay_sec,median_deceleration_onset_delay_sec,median_initial_speed_mps,median_final_speed_mps,median_speed_drop_mps,median_distance_travelled_m,median_measurement_duration_sec,median_sample_rate_hz,median_mean_brake_echo_error,quality_flags,coast_baseline_deceleration_mps2,coast_normalized_brake_deceleration_mps2
5,accelerator,40,complete,3,3,2.1083704928715212,0.0,velocity_derived,0.0,0.0,2.1083704928715212,2.1083704928715212,0.0,0.0,0.0,0.0,0.0,,,1.3630867004394531,4.319249153137207,-2.9572806358337402,0.0,1.3418346169928554,49.03836039022455,,['simulator_acceleration_field_stuck'],,
5,accelerator,50,complete,3,3,2.6329609804294924,0.0,velocity_derived,0.0,0.0,2.6329609804294924,2.6329609804294924,0.0,0.0,0.0,1.4877008382965403e-05,0.0,,,1.369247317314148,5.074645042419434,-3.6910263299942017,0.0,1.3480733619944658,48.95875985736669,,['simulator_acceleration_field_stuck'],,
5,accelerator,60,complete,3,3,3.111095228404439,0.0,velocity_derived,0.0,0.0,3.111095228404439,3.111095228404439,0.0,0.0,0.0,0.0,0.0,,,1.3828380107879639,5.728958606719971,-4.346619606018066,0.0,1.3440009730111342,49.107107305236475,,['simulator_acceleration_field_stuck'],,
5,accelerator,70,complete,3,3,3.4624345443259332,0.0,velocity_derived,0.0,0.0,3.4624345443259332,3.4624345443259332,0.0,0.0,0.0,0.0,0.0,,,1.390756607055664,6.140380859375,-4.747929096221924,0.0,1.3459342920104973,48.53571556928798,,['simulator_acceleration_field_stuck'],,
5,accelerator,80,complete,3,3,3.758279264182097,0.0,velocity_derived,0.0,0.0,3.758279264182097,3.758279264182097,0.0,0.0,0.0,9.01334769297716e-05,0.0,,,1.3874045610427856,6.53739070892334,-5.150089740753174,0.0,1.3581747389980592,48.59463079742518,,['simulator_acceleration_field_stuck'],,
5,accelerator,90,complete,3,3,4.084698376323469,0.0,velocity_derived,0.0,0.0,4.084698376323469,4.084698376323469,0.0,0.0,0.0,0.0,0.0,,,1.3802930116653442,7.040258884429932,-5.659965872764587,0.0,1.3301839159976225,48.86542320822662,,['simulator_acceleration_field_stuck'],,
5,accelerator,100,complete,3,3,4.422133433118548,0.0,velocity_derived,0.0,0.0,4.422133433118548,4.422133433118548,0.0,0.0,0.0,0.0,0.0,,,1.3781049251556396,7.639737129211426,-6.254817962646484,0.0,1.3440659900079481,48.40030580023108,,['simulator_acceleration_field_stuck'],,
10,accelerator,0,complete,3,3,-0.1263052694178985,0.0,velocity_derived,0.0,0.0,-0.1263052694178985,0.1263052694178985,0.0,0.1263052694178985,0.0006499192270936482,0.21768383745314165,0.19072003892147169,,,2.758133888244629,2.586028575897217,0.17548584938049316,0.0,1.344247050001286,48.14184991076207,,['simulator_acceleration_field_stuck'],,
10,accelerator,10,complete,3,3,0.5046032436998478,0.0,velocity_derived,0.0,0.0,0.5046032436998478,0.5046032436998478,0.0,0.0,0.0,0.0,0.0,,,2.7577574253082275,3.464808225631714,-0.7070508003234863,0.0,1.320360009005526,48.471628619079254,,['simulator_acceleration_field_stuck'],,
10,accelerator,20,complete,3,3,1.0345706971684907,0.0,velocity_derived,0.0,0.0,1.0345706971684907,1.0345706971684907,0.0,0.0,0.0,0.0,0.0,,,2.757065773010254,4.20754337310791,-1.4499945640563965,0.0,1.3323573620000388,48.93239868402636,,['simulator_acceleration_field_stuck'],,
10,accelerator,30,complete,3,3,1.567537016824948,0.0,velocity_derived,0.0,0.0,1.567537016824948,1.567537016824948,0.0,0.0,0.0,0.0,0.0,,,2.7494778633117676,4.9438300132751465,-2.1944222450256348,0.0,1.3438613609760068,48.65322746554061,,['simulator_acceleration_field_stuck'],,
10,accelerator,40,complete,3,3,2.0835706880764646,0.0,velocity_derived,0.0,0.0,2.0835706880764646,2.0835706880764646,0.0,0.0,0.0,0.0,0.0,,,2.7507786750793457,5.658745288848877,-2.90742826461792,0.0,1.3417975830088835,48.659186925482224,,['simulator_acceleration_field_stuck'],,
10,accelerator,50,complete,3,3,2.4710825110267054,0.0,velocity_derived,0.0,0.0,2.4710825110267054,2.4710825110267054,0.0,0.0,0.0,0.0,0.0,,,2.7440600395202637,6.090460300445557,-3.349008560180664,0.0,1.3443208840035368,48.8117598364086,,['simulator_acceleration_field_stuck'],,
